,기준_년월_코드,기준_분기_코드,기준_분기_코드.1,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수
0,2020,2,U,관광특구,1001496,강남 마이스 관광특구,15904
1,2020,2,U,관광특구,1001495,잠실 관광특구,24375
2,2020,2,U,관광특구,1001494,종로?청계 관광특구,32935
3,2020,2,U,관광특구,1001493,동대문패션타운 관광특구,6054
4,2020,2,U,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830
5,2020,2,U,관광특구,1001491,이태원 관광특구,5839
6,2020,2,R,전통시장,1001490,길동복조리시장,430
7,2020,2,R,전통시장,1001489,둔촌역전통시장,224
8,2020,2,R,전통시장,1001488,성내골목시장,30
9,2020,2,R,전통시장,1001487,천호시장,35
10,2020,2,R,전통시장,1001486,동서울시장,5
11,2020,2,R,전통시장,1001484,양지골목시장,60
12,2020,2,R,전통시장,1001483,암사종합시장,95
13,2020,2,R,전통시장,1001482,고덕전통시장,935
14,2020,2,R,전통시장,1001481,명일골목시장,89
15,2020,2,R,전통시장,1001480,새마을시장,208
16,2020,2,R,전통시장,1001479,석촌시장,286
17,2020,2,R,전통시장,1001478,방이시장,3469
18,2020,2,R,전통시장,1001477,마천시장,102
19,2020,2,R,전통시장,1001476,풍납시장,51
20,2020,2,R,전통시장,1001475,강남개포시장,138
21,2020,2,R,전통시장,1001474,도곡시장,57
22,2020,2,R,전통시장,1001473,청담삼익시장,48
23,2020,2,R,전통시장,1001472,논현종합시장,85
24,2020,2,R,전통시장,1001471,영동전통시장,242
25,2020,2,R,전통시장,1001470,강남시장_강남,58
26,2020,2,R,전통시장,1001469,양재시장,35
27,2020,2,R,전통시장,1001468,남부종합시장,85
28,2020,2,R,전통시장,1001467,우림시장,1
29,2020,2,R,전통시장,1001466,미성동도깨비시장,75
30,2020,2,R,전통시장,1001463,신림중앙시장,43
31,2020,2,R,전통시장,1001462,강남골목시장,168
32,2020,2,R,전통시장,1001461,신림종합시장,8
33,2020,2,R,전통시장,1001460,관악신사시장,120
34,2020,2,R,전통시장,1001459,신원시장,42
