,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,총_유동인구_수,집객시설_수,당월_매출_금액,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
0,2020,2,관광특구,1001496,강남 마이스 관광특구,15904,90544.0,52.0,167195866008.0,,,,
1,2020,2,관광특구,1001495,잠실 관광특구,24375,3026454.0,242.0,154618103600.0,8221.0,22.0,89.0,527347107.0
2,2020,2,관광특구,1001494,종로?청계 관광특구,32935,4033679.0,327.0,259239790301.0,1924.0,5.0,39.0,112097903.0
3,2020,2,관광특구,1001493,동대문패션타운 관광특구,6054,3262023.0,165.0,246639327198.0,2427.0,8.0,53.0,237967427.0
4,2020,2,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830,3764785.0,593.0,376621394364.0,,,,
5,2020,2,관광특구,1001491,이태원 관광특구,5839,1475296.0,144.0,74248773015.0,5176.0,71.0,82.0,409473123.0
6,2020,2,전통시장,1001490,길동복조리시장,430,868848.0,17.0,15694318590.0,3097.0,37.0,62.0,183067389.0
7,2020,2,전통시장,1001489,둔촌역전통시장,224,241170.0,36.0,19673912233.0,595.0,8.0,63.0,195748977.0
8,2020,2,전통시장,1001488,성내골목시장,30,677940.0,5.0,4864851659.0,1023.0,11.0,44.0,148468044.0
9,2020,2,전통시장,1001487,천호시장,35,98493.0,10.0,3386236660.0,,,,
10,2020,2,전통시장,1001486,동서울시장,5,69080.0,,1953555157.0,170.0,1.0,45.0,176000000.0
11,2020,2,전통시장,1001484,양지골목시장,60,83145.0,6.0,3966405054.0,842.0,17.0,55.0,181813715.0
12,2020,2,전통시장,1001483,암사종합시장,95,350321.0,12.0,15659571452.0,800.0,18.0,46.0,143664435.0
13,2020,2,전통시장,1001482,고덕전통시장,935,201319.0,12.0,9624004505.0,288.0,1.0,41.0,155000000.0
14,2020,2,전통시장,1001481,명일골목시장,89,200188.0,3.0,5572918679.0,1952.0,4.0,61.0,223508784.0
15,2020,2,전통시장,1001480,새마을시장,208,827462.0,19.0,19903253784.0,2314.0,44.0,40.0,209797797.0
16,2020,2,전통시장,1001479,석촌시장,286,464170.0,6.0,13358706095.0,803.0,13.0,43.0,233575425.0
17,2020,2,전통시장,1001478,방이시장,3469,1085237.0,42.0,19087909694.0,5119.0,174.0,49.0,205632867.0
18,2020,2,전통시장,1001477,마천시장,102,404385.0,4.0,11969452247.0,947.0,6.0,57.0,195932239.0
19,2020,2,전통시장,1001476,풍납시장,51,540027.0,6.0,4483989335.0,2104.0,20.0,55.0,153329405.0
20,2020,2,전통시장,1001475,강남개포시장,138,45750.0,4.0,3526016296.0,,,,
21,2020,2,전통시장,1001474,도곡시장,57,284809.0,7.0,11627356469.0,241.0,1.0,67.0,639223684.0
22,2020,2,전통시장,1001473,청담삼익시장,48,43891.0,3.0,2568206548.0,,,,
23,2020,2,전통시장,1001472,논현종합시장,85,42987.0,,3596760095.0,85.0,3.0,115.0,512515152.0
24,2020,2,전통시장,1001471,영동전통시장,242,437583.0,7.0,32901051540.0,1169.0,18.0,43.0,226552606.0
25,2020,2,전통시장,1001470,강남시장_강남,58,46984.0,,2202632696.0,260.0,1.0,95.0,359478723.0
26,2020,2,전통시장,1001469,양재시장,35,54532.0,5.0,3076669706.0,104.0,2.0,42.0,185226190.0
27,2020,2,전통시장,1001468,남부종합시장,85,78774.0,2.0,215526420.0,147.0,3.0,53.0,299250000.0
28,2020,2,전통시장,1001467,우림시장,1,50903.0,2.0,1604273776.0,,,,
29,2020,2,전통시장,1001466,미성동도깨비시장,75,232855.0,12.0,4390822685.0,627.0,3.0,66.0,179668193.0
30,2020,2,전통시장,1001463,신림중앙시장,43,55194.0,3.0,1356503081.0,62.0,3.0,42.0,184383476.0
31,2020,2,전통시장,1001462,강남골목시장,168,290023.0,1.0,4701704201.0,574.0,5.0,46.0,145078889.0
32,2020,2,전통시장,1001461,신림종합시장,8,35385.0,,549251790.0,,,,
33,2020,2,전통시장,1001460,관악신사시장,120,427723.0,13.0,6929922446.0,2203.0,25.0,53.0,170190594.0
34,2020,2,전통시장,1001459,신원시장,42,1071132.0,10.0,10678127986.0,441.0,4.0,50.0,164801389.0
35,2020,2,전통시장,1001458,인헌시장,122,360242.0,22.0,14156944984.0,1451.0,10.0,59.0,154501044.0
36,2020,2,전통시장,1001457,봉천중앙시장,154,66794.0,6.0,6231950247.0,441.0,4.0,51.0,177340278.0
37,2020,2,전통시장,1001455,봉일시장,44,140517.0,4.0,1597126808.0,,,,
38,2020,2,전통시장,1001454,봉천제일종합시장,6,82738.0,2.0,4456344331.0,496.0,2.0,30.0,168357143.0
39,2020,2,전통시장,1001453,낙성대시장,10,189157.0,4.0,3994676986.0,568.0,6.0,37.0,123503739.0
40,2020,2,전통시장,1001452,중부시장,102,217735.0,14.0,10600281756.0,647.0,4.0,51.0,187520635.0
41,2020,2,전통시장,1001451,사당시장,45,40570.0,7.0,2944881514.0,,,,
42,2020,2,전통시장,1001450,남성역골목시장,467,352435.0,30.0,15622347936.0,536.0,4.0,57.0,178875000.0
43,2020,2,전통시장,1001449,남성사계시장,136,707512.0,36.0,26377569046.0,572.0,1.0,29.0,137875000.0
44,2020,2,전통시장,1001448,흑석시장,78,386771.0,25.0,13600342407.0,1009.0,2.0,92.0,416694996.0
45,2020,2,전통시장,1001447,상도4동도깨비골목시장,95,464294.0,16.0,4260443264.0,1866.0,17.0,54.0,155765640.0
46,2020,2,전통시장,1001446,성대시장,141,60517.0,18.0,14931660441.0,177.0,2.0,34.0,160357143.0
47,2020,2,전통시장,1001445,영도시장,73,41611.0,6.0,1127649377.0,,,,
48,2020,2,전통시장,1001444,상도전통시장,239,502178.0,19.0,8417064046.0,1602.0,18.0,56.0,181107554.0
49,2020,2,전통시장,1001442,신노량진시장,11,28515.0,4.0,1654436004.0,,,,
50,2020,2,전통시장,1001441,본동인정시장,59,186540.0,19.0,720790092.0,406.0,1.0,86.0,525000000.0
51,2020,2,전통시장,1001440,노량진중앙시장,244,240957.0,9.0,9238295076.0,638.0,1.0,147.0,299142857.0
52,2020,2,전통시장,1001439,대림중앙시장,42,114126.0,,3470104938.0,355.0,3.0,54.0,121966667.0
53,2020,2,전통시장,1001438,우리시장,6,175638.0,,1839494289.0,,,,
54,2020,2,전통시장,1001436,사러가시장,57,92209.0,8.0,4044936066.0,,,,
55,2020,2,전통시장,1001435,대신시장,12,101321.0,1.0,,,1.0,91.0,178866546.0
56,2020,2,전통시장,1001433,영일시장,155,405968.0,1.0,17193665024.0,673.0,3.0,54.0,264567730.0
57,2020,2,전통시장,1001432,도림시장,6,23295.0,,119916527.0,,,,
58,2020,2,전통시장,1001431,영등포청과시장,23,134703.0,1.0,21456182400.0,278.0,3.0,29.0,183000000.0
59,2020,2,전통시장,1001430,영등포전통시장,2127,1298408.0,132.0,143776694706.0,2354.0,4.0,65.0,154166369.0
60,2020,2,전통시장,1001429,은행나무시장,67,137102.0,11.0,6440648436.0,439.0,8.0,54.0,146750000.0
61,2020,2,전통시장,1001428,박미시장,39,23344.0,2.0,1783927873.0,285.0,3.0,59.0,148171296.0
62,2020,2,전통시장,1001427,현대시장,139,656963.0,24.0,22571110405.0,2140.0,18.0,47.0,133887709.0
63,2020,2,전통시장,1001426,대명시장,28,30200.0,,4096164759.0,,,,
64,2020,2,전통시장,1001425,푸른터시장,3,70709.0,,,43.0,2.0,76.0,205074278.0
65,2020,2,전통시장,1001424,남문시장,76,273302.0,9.0,9853629309.0,1563.0,24.0,50.0,140069530.0
66,2020,2,전통시장,1001423,독산동 우시장,611,130351.0,6.0,166804771731.0,,,,
67,2020,2,전통시장,1001422,오류시장,132,66006.0,15.0,7109410387.0,,,,
68,2020,2,전통시장,1001421,개봉중앙시장,10,54708.0,3.0,3964324997.0,361.0,14.0,54.0,133701577.0
69,2020,2,전통시장,1001420,고척근린시장,55,164210.0,17.0,11844612683.0,618.0,2.0,39.0,135912618.0
70,2020,2,전통시장,1001418,남구로시장,236,530033.0,27.0,21461092212.0,631.0,11.0,48.0,93859848.0
71,2020,2,전통시장,1001417,구로시장,10,65078.0,,1270130233.0,126.0,1.0,46.0,113555556.0
72,2020,2,전통시장,1001415,방신전통시장,116,317850.0,5.0,7618439501.0,584.0,2.0,63.0,239418555.0
73,2020,2,전통시장,1001414,송화골목시장,119,199486.0,30.0,14630507691.0,614.0,8.0,47.0,140120196.0
74,2020,2,전통시장,1001413,까치산시장,114,972203.0,34.0,19639064106.0,1108.0,29.0,48.0,133673421.0
75,2020,2,전통시장,1001412,화곡본동시장,36,184732.0,10.0,14424034722.0,338.0,12.0,50.0,120212126.0
76,2020,2,전통시장,1001411,남부골목시장,156,523795.0,16.0,19647097672.0,1961.0,28.0,52.0,143394086.0
77,2020,2,전통시장,1001410,대원종합시장,9,51452.0,,709475077.0,,,,
78,2020,2,전통시장,1001409,화곡중앙골목시장,75,302268.0,15.0,6232555876.0,976.0,26.0,49.0,113747772.0
79,2020,2,전통시장,1001408,신월중앙시장,118,35594.0,1.0,2898057292.0,,,,
80,2020,2,전통시장,1001406,신정3동골목시장,123,207862.0,20.0,8396420708.0,,,,
81,2020,2,전통시장,1001405,신정2동골목시장,41,212026.0,,360640715.0,484.0,4.0,50.0,207772556.0
82,2020,2,전통시장,1001404,신정제일시장,38,27419.0,5.0,3362275470.0,,,,
83,2020,2,전통시장,1001403,신월7동골목시장,24,74146.0,6.0,4059319735.0,142.0,3.0,49.0,130690000.0
84,2020,2,전통시장,1001402,신월6동골목시장,141,68713.0,20.0,10519669525.0,,,,
85,2020,2,전통시장,1001400,신월3동골목시장,12,146671.0,1.0,445268321.0,332.0,1.0,35.0,61833333.0
86,2020,2,전통시장,1001399,경창시장,53,125313.0,6.0,4799602913.0,364.0,5.0,66.0,152726642.0
87,2020,2,전통시장,1001398,월정로시장,61,205538.0,4.0,1862357880.0,1581.0,24.0,51.0,109753584.0
88,2020,2,전통시장,1001397,신영시장,40,277362.0,8.0,11692502786.0,1172.0,13.0,52.0,115788199.0
89,2020,2,전통시장,1001396,목4동시장,52,281447.0,4.0,3381593769.0,1170.0,24.0,58.0,171280260.0
90,2020,2,전통시장,1001395,목3동시장,148,432286.0,37.0,19912408079.0,1215.0,13.0,49.0,185909130.0
91,2020,2,전통시장,1001394,목2동시장,432,339057.0,24.0,11918434963.0,1298.0,21.0,48.0,170220147.0
92,2020,2,전통시장,1001393,마포농수산물시장,77,8765.0,4.0,179335079314.0,,,,
93,2020,2,전통시장,1001392,동진시장,10,42157.0,2.0,2538321441.0,,,,
94,2020,2,전통시장,1001391,망원월드컵시장,190,345740.0,12.0,9706439476.0,589.0,24.0,48.0,173992934.0
95,2020,2,전통시장,1001390,망원시장,173,336035.0,13.0,15961145632.0,1614.0,50.0,51.0,194819930.0
96,2020,2,전통시장,1001388,영진시장,29,44100.0,,460443979.0,197.0,3.0,57.0,228298958.0
97,2020,2,전통시장,1001387,서교시장,24,79316.0,2.0,6352188698.0,,,,
98,2020,2,전통시장,1001386,신수시장,34,31791.0,3.0,1540811332.0,45.0,2.0,41.0,194535714.0
99,2020,2,전통시장,1001385,아현시장,803,300279.0,20.0,11711361328.0,310.0,3.0,59.0,211638889.0
100,2020,2,전통시장,1001384,마포시장,11,31569.0,,4722250289.0,,,,
101,2020,2,전통시장,1001383,공덕시장,3948,38993.0,10.0,4941805811.0,,,,
102,2020,2,전통시장,1001382,백련시장,5,65921.0,,521990372.0,143.0,1.0,55.0,160031250.0
103,2020,2,전통시장,1001381,모래내시장,14,81741.0,2.0,4941187182.0,309.0,11.0,62.0,242563004.0
104,2020,2,전통시장,1001380,포방터시장,35,184087.0,3.0,3953961036.0,498.0,7.0,54.0,112071769.0
105,2020,2,전통시장,1001379,인왕시장,44,131818.0,9.0,21044954039.0,273.0,1.0,72.0,183325000.0
106,2020,2,전통시장,1001378,아현가구거리상점가,45,175818.0,9.0,7130719438.0,,,,
107,2020,2,전통시장,1001377,영천시장,35,301018.0,17.0,8569214001.0,362.0,3.0,35.0,112050794.0
108,2020,2,전통시장,1001376,수일시장,7,29877.0,6.0,928712573.0,,,,
109,2020,2,전통시장,1001375,증산종합시장,8,22928.0,,2557753984.0,156.0,3.0,64.0,147498611.0
110,2020,2,전통시장,1001374,대림골목시장,237,222900.0,11.0,6559658311.0,568.0,8.0,48.0,124840625.0
111,2020,2,전통시장,1001373,신응암시장,17,117962.0,5.0,2159573492.0,198.0,2.0,50.0,205500000.0
112,2020,2,전통시장,1001372,녹번시장,22,34267.0,2.0,,,,,
113,2020,2,전통시장,1001371,대조시장,15,57715.0,6.0,9863438527.0,500.0,16.0,46.0,134893284.0
114,2020,2,전통시장,1001370,역촌중앙시장,9,50863.0,,221159479.0,,,,
115,2020,2,전통시장,1001369,갈현시장,287,49931.0,3.0,707056971.0,,,,
116,2020,2,전통시장,1001368,연서시장,206,98330.0,18.0,9349826374.0,243.0,1.0,100.0,316376812.0
117,2020,2,전통시장,1001367,상계중앙시장,105,1014884.0,18.0,9248180445.0,1833.0,20.0,56.0,135646240.0
118,2020,2,전통시장,1001366,상계시장,8,44541.0,1.0,173666732.0,,,,
119,2020,2,전통시장,1001365,공릉동도깨비시장,98,350426.0,20.0,10924707833.0,1498.0,23.0,52.0,146987162.0
120,2020,2,전통시장,1001364,방학동도깨비시장,39,166833.0,13.0,13216038380.0,1035.0,11.0,47.0,91337973.0
121,2020,2,전통시장,1001363,쌍문역골목시장,61,146514.0,2.0,4562549742.0,728.0,6.0,55.0,121724537.0
122,2020,2,전통시장,1001362,백운시장,33,71092.0,4.0,1200694744.0,379.0,8.0,49.0,116112580.0
123,2020,2,전통시장,1001361,신도봉시장,5,29299.0,1.0,6335291253.0,174.0,3.0,42.0,73560714.0
124,2020,2,전통시장,1001360,창동골목시장,84,451035.0,13.0,6119943966.0,1212.0,8.0,46.0,119664583.0
125,2020,2,전통시장,1001359,창동신창시장,104,423509.0,14.0,7651034339.0,2247.0,47.0,52.0,136439056.0
126,2020,2,전통시장,1001358,수유북부시장,20,51163.0,1.0,1133377784.0,58.0,1.0,81.0,148000000.0
127,2020,2,전통시장,1001357,장미원골목시장,911,492087.0,8.0,5831147785.0,1482.0,40.0,49.0,138173425.0
128,2020,2,전통시장,1001356,수유중앙시장,13,24732.0,1.0,417365076.0,42.0,2.0,55.0,108750000.0
129,2020,2,전통시장,1001355,강북종합시장,23,288532.0,8.0,5450918180.0,764.0,7.0,48.0,122968074.0
130,2020,2,전통시장,1001354,우이시장,69,578332.0,5.0,4535913331.0,1607.0,36.0,49.0,116487876.0
131,2020,2,전통시장,1001353,수유전통시장,231,240961.0,19.0,27124025625.0,610.0,3.0,61.0,157212176.0
132,2020,2,전통시장,1001352,번동북부골목시장,50,461477.0,4.0,3937272232.0,1136.0,8.0,56.0,169478765.0
133,2020,2,전통시장,1001351,솔샘시장,73,129235.0,6.0,5483182881.0,,,,
134,2020,2,전통시장,1001350,숭인시장,62,37556.0,29.0,11563846947.0,235.0,2.0,41.0,155484375.0
135,2020,2,전통시장,1001349,방천골목시장,92,604634.0,8.0,17741241902.0,1375.0,4.0,44.0,141642045.0
136,2020,2,전통시장,1001348,동북시장,121,41937.0,12.0,3817313429.0,,,,
137,2020,2,전통시장,1001347,석관황금시장,191,534709.0,3.0,2247354528.0,1807.0,5.0,45.0,155293333.0
138,2020,2,전통시장,1001345,새석관시장,3,41345.0,1.0,28603871.0,73.0,1.0,37.0,22819512.0
139,2020,2,전통시장,1001343,장위전통시장,40,469654.0,10.0,3557843299.0,853.0,5.0,66.0,167111111.0
140,2020,2,전통시장,1001342,밤나무골시장,17,78831.0,3.0,492666839.0,228.0,2.0,51.0,71711538.0
141,2020,2,전통시장,1001341,길음시장,91,111081.0,6.0,2782397362.0,,,,
142,2020,2,전통시장,1001340,정릉시장,131,319119.0,20.0,12003957208.0,1409.0,30.0,51.0,155465885.0
143,2020,2,전통시장,1001339,정릉아리랑시장,22,171533.0,12.0,2063593012.0,1061.0,9.0,55.0,192902888.0
144,2020,2,전통시장,1001338,돈암제일시장,97,581218.0,23.0,10491304551.0,,,,
145,2020,2,전통시장,1001337,유영시장,31,33940.0,,43392686.0,109.0,2.0,60.0,180075000.0
146,2020,2,전통시장,1001336,우림골목시장,344,523394.0,43.0,19202748931.0,2080.0,19.0,54.0,130929772.0
147,2020,2,전통시장,1001335,묵1동도깨비시장,35,180264.0,1.0,2476788923.0,1454.0,17.0,48.0,130566556.0
148,2020,2,전통시장,1001334,태능시장,81,354162.0,14.0,5297845452.0,934.0,4.0,64.0,175721752.0
149,2020,2,전통시장,1001333,중화제일시장,69,256705.0,5.0,2886998310.0,1850.0,16.0,50.0,143519028.0
150,2020,2,전통시장,1001332,사가정시장,86,701799.0,28.0,9474222632.0,1871.0,11.0,53.0,163307651.0
151,2020,2,전통시장,1001331,면목골목시장,45,426978.0,12.0,7275076949.0,1249.0,15.0,73.0,148010317.0
152,2020,2,전통시장,1001330,동원시장,224,887855.0,43.0,31294854538.0,2009.0,21.0,51.0,142400772.0
153,2020,2,전통시장,1001329,동부골목시장,179,540289.0,25.0,17030660345.0,1458.0,20.0,37.0,131474045.0
154,2020,2,전통시장,1001327,이경시장,16,41983.0,4.0,1076272100.0,242.0,2.0,63.0,202500000.0
155,2020,2,전통시장,1001326,회기시장,55,246407.0,13.0,3692382103.0,1231.0,6.0,39.0,132069521.0
156,2020,2,전통시장,1001325,청량리청과물시장,12,96975.0,4.0,36277297267.0,,,,
157,2020,2,전통시장,1001324,전곡시장,77,25804.0,5.0,2792958824.0,228.0,4.0,62.0,201350000.0
158,2020,2,전통시장,1001323,답십리시장,93,235536.0,13.0,3636357376.0,442.0,2.0,59.0,139476190.0
159,2020,2,전통시장,1001322,동부시장,14,56267.0,6.0,1052466619.0,,,,
160,2020,2,전통시장,1001321,답십리현대시장,36,287435.0,,1033911601.0,,,,
161,2020,2,전통시장,1001320,전농로터리시장,7,143019.0,8.0,4269600222.0,,,,
162,2020,2,전통시장,1001319,청량리종합시장,13,92145.0,3.0,79029426737.0,,,,
163,2020,2,전통시장,1001318,청량리전통시장,9,90767.0,,2712464407.0,,,,
164,2020,2,전통시장,1001316,서울약령시장,1171,936907.0,40.0,62065182887.0,2075.0,3.0,41.0,146845455.0
165,2020,2,전통시장,1001315,동서시장,5,32113.0,1.0,43273077854.0,,,,
166,2020,2,전통시장,1001314,경동시장,130,69172.0,11.0,97173031357.0,,,,
167,2020,2,전통시장,1001313,청량리수산시장,20,101327.0,14.0,8410580357.0,454.0,1.0,39.0,176000000.0
168,2020,2,전통시장,1001312,용두시장,4,39236.0,,116202276.0,,,,
169,2020,2,전통시장,1001309,조양시장,31,42003.0,2.0,924771030.0,68.0,3.0,19.0,93491841.0
170,2020,2,전통시장,1001308,영동교골목시장,41,498999.0,4.0,1421951838.0,893.0,9.0,56.0,209838921.0
171,2020,2,전통시장,1001307,능동로골목시장,56,191514.0,,661592071.0,,,,
172,2020,2,전통시장,1001306,노룬산골목시장,23,184779.0,8.0,2877840644.0,168.0,1.0,24.0,108000000.0
